A,B,C
2,48,895
2,26,903
6,13,899
5,10,899
8,1,905
10,32,898
9,1,895
9,36,903
13,11,901
13,38,897
12,48,903
11,24,898
16,26,903
13,37,905
17,16,895
18,38,897
20,43,897
22,43,905
22,3,897
22,32,901
24,18,895
23,13,905
26,49,903
24,7,900
28,27,901
28,39,904
29,46,899
32,22,895
33,41,905
32,23,899
30,19,898
32,48,895
36,44,898
37,47,898
39,49,895
35,17,900
40,39,898
41,29,895
43,6,902
44,13,898
45,48,898
43,46,901
43,42,900
44,3,902
49,22,900
46,37,903
48,15,896
50,17,905
48,18,904
54,10,897
52,15,902
52,42,902
54,21,904
57,29,897
57,39,902
58,13,895
59,16,900
62,46,900
58,30,900
64,14,905
62,45,899
64,41,901
62,10,905
68,26,905
65,47,901
66,11,902
66,7,898
67,40,895
71,40,901
70,19,896
73,4,901
75,14,898
76,33,895
75,42,903
76,7,903
77,29,899
76,30,898
82,5,903
82,49,902
81,46,895
80,15,903
85,7,903
87,26,896
85,16,905
89,42,899
90,22,895
87,28,897
89,39,895
89,9,899
93,8,897
94,36,901
95,35,896
95,10,901
96,25,901
97,37,904
100,19,898
98,2,905
99,4,895
103,44,903
103,47,901
103,32,899
101,7,904
102,4,904
106,39,901
104,41,896
108,13,902
109,9,900
108,49,899
111,25,898
110,28,896
111,23,900
116,42,895
112,25,905
115,39,904
115,48,904
119,30,903
120,25,902
117,39,898
123,18,897
122,3,900
120,22,901
124,26,897
125,32,899
124,10,900
127,34,896
128,1,896
130,22,895
127,8,901
130,28,901
129,3,898
130,24,902
135,26,896
137,17,897
136,39,898
134,43,896
139,5,895
138,31,903
138,30,904
138,11,905
142,3,899
145,45,895
146,31,903
147,39,902
143,1,896
144,33,903
150,39,905
150,27,900
149,19,895
148,24,904
152,38,895
152,26,897
152,24,902
157,7,904
158,41,903
159,33,905
156,49,902
161,49,897
158,34,898
161,38,899
164,13,897
163,44,904
165,3,896
167,49,901
164,40,905
169,4,897
167,0,898
171,29,897
167,24,899
170,15,905
172,1,900
171,34,903
172,44,899
172,16,900
174,47,895
176,8,904
180,12,898
178,26,898
180,30,899
178,19,898
182,8,902
181,6,903
181,2,897
184,23,901
188,41,905
187,46,897
188,26,904
188,17,895
191,13,900
189,19,896
193,45,898
193,21,899
192,34,904
192,27,897
198,26,898
199,23,903
199,49,902
197,13,900
202,14,900
198,17,898
199,4,903
200,34,902
202,48,898
204,22,902
205,39,895
206,9,901
210,27,905
