id,feature_1,feature_2,feature_3,target
278,500.87,22.5,9843.11,95.74
64,846.32,30.21,8593.27,46.79
313,281.31,54.24,7359.29,90.33
654,357.44,33.12,6504.13,68.54
564,81.74,33.9,731.22,75.66
427,287.36,78.9,1514.34,45.49
351,908.72,0.7,1149.85,56.6
475,814.58,41.84,8118.78,88.76
339,832.92,73.1,2535.51,56.27
507,487.19,2.33,3200.7,28.81
76,674.5,26.41,1942.59,90.15
416,745.32,14.94,7252.12,29.8
720,26.74,0.8,2426.53,47.5
816,37.81,38.36,9977.95,99.74
272,890.91,94.5,5292.6,50.15
570,177.4,33.88,9607.34,37.82
346,782.13,48.79,111.11,50.59
309,377.16,59.7,1497.96,65.93
16,759.41,30.68,4018.75,92.36
736,739.78,1.32,5421.25,18.8
232,755.12,67.4,5575.34,5.35
758,584.91,87.35,2016.16,55.8
651,486.16,25.65,1096.87,2.8
265,731.57,25.62,3892.54,24.65
822,636.95,55.53,5899.31,89.31
535,626.9,44.55,5977.73,17.33
74,378.79,86.76,5668.36,8.57
879,950.28,18.69,3337.93,68.86
616,826.64,20.39,1410.61,78.43
669,459.89,86.22,9158.23,21.99
802,427.84,42.86,7750.82,16.96
411,783.79,39.38,9999.93,98.22
247,223.12,97.41,727.79,88.86
789,785.15,93.79,7006.7,52.62
1,62.37,1.82,5043.35,58.19
922,294.83,65.54,858.59,71.54
684,365.2,47.7,2106.8,14.4
281,573.16,32.18,7800.57,99.22
956,505.64,98.48,185.91,14.79
175,212.94,26.44,7753.34,8.45
551,900.13,14.92,7463.66,52.78
520,370.75,9.54,6785.28,5.68
854,144.97,50.3,6257.86,19.28
647,894.81,93.6,4161.15,38.0
593,452.17,42.24,1868.85,67.91
391,295.93,71.5,7267.11,89.86
191,151.1,6.28,442.47,47.48
10,411.59,22.47,84.55,2.93
837,409.79,74.31,4241.42,24.83
619,951.77,62.3,6218.35,28.88
706,504.83,53.13,6158.94,69.7
263,923.39,45.58,9162.5,7.89
168,215.64,76.29,7599.97,34.51
416,171.21,95.6,7247.92,11.23
702,242.4,42.1,5283.95,93.9
497,443.8,36.63,8879.64,68.89
577,341.75,0.75,2456.56,38.85
331,278.75,30.4,7782.2,85.26
418,535.48,23.67,4242.29,98.5
459,369.72,2.91,4576.5,28.42
586,895.85,48.57,3229.1,31.19
932,217.11,14.86,3216.66,57.56
550,823.7,58.16,9405.61,78.59
344,529.13,52.38,3763.45,10.44
226,110.62,84.69,8573.91,88.35
65,895.91,46.83,4117.18,33.11
898,162.38,16.1,7438.19,0.45
390,254.93,93.42,6887.81,69.92
27,520.11,57.5,4737.31,46.78
454,900.4,26.98,4264.2,35.96
527,721.15,98.96,9500.87,16.95
464,989.68,27.35,9645.46,44.51
1000,24.85,44.7,1241.9,71.97
81,967.21,89.81,7732.99,42.42
125,905.3,49.52,2156.14,98.23
23,672.16,18.94,4835.71,22.35
182,427.46,80.19,1774.29,85.16
638,85.2,90.84,3397.57,72.29
272,802.76,71.96,2702.65,31.61
797,222.4,37.28,1691.25,79.56
274,772.81,89.97,724.44,91.82
374,751.99,47.53,8030.87,69.72
930,125.96,76.56,2302.5,82.99
525,739.6,78.19,1537.5,5.31
348,981.23,81.52,5860.78,11.73
799,389.9,44.8,2132.9,47.1
343,250.86,62.82,2349.61,10.19
855,539.68,45.5,4305.21,49.16
178,158.13,63.82,3816.44,96.49
941,379.65,99.12,2571.29,69.8
850,306.6,40.1,6297.76,93.3
199,770.1,34.95,7001.87,89.63
616,385.12,28.73,5961.52,2.54
485,442.49,93.49,5246.13,70.91
934,985.54,87.51,4830.3,66.21
98,480.2,3.54,1791.62,4.98
835,211.28,38.54,7187.74,63.78
144,641.56,62.1,6630.13,79.59
215,762.87,13.73,2647.49,28.55
989,615.6,29.71,9935.13,85.45
